Marital status,divorced
Application mode,Over 23 years old
Application order,1
Course,Tourism
"Daytime/evening attendance,",daytime
Previous qualification,Secondary education
Previous qualification (grade),120
Nacionality,Portuguese
Mother's qualification,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.
Father's qualification,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.
Mother's occupation,Unskilled Workers
Father's occupation,Intermediate Level Technicians and Professions
Admission grade,114
Displaced,yes
Educational special needs,no
Debtor,no
Tuition fees up to date,yes
Gender,Female
Scholarship holder,no
Age at enrollment,39
International,no
Curricular units 1st sem (credited),0
Curricular units 1st sem (enrolled),5
Curricular units 1st sem (evaluations),8
Curricular units 1st sem (approved),5
Curricular units 1st sem (grade),11
Curricular units 1st sem (without evaluations),0
Curricular units 2nd sem (credited),0
Curricular units 2nd sem (enrolled),5
Curricular units 2nd sem (evaluations),5
Curricular units 2nd sem (approved),5
Curricular units 2nd sem (grade),11
Curricular units 2nd sem (without evaluations),0
Unemployment rate,7
Inflation rate,3
GDP,3
Target,Graduate
